14291	К. К. Случевский	Песни из уголка, «Ветер несется могучий...»	Д3	3	1	Сосны навстречу!  Недвижны\nРозовой грудью стволов…\nЗнать: грудь на грудь!  Так и нужно!\nВ мире обычай таков…
14338	К. К. Случевский	Песни из уголка, «В лиственной чаще шумливо...»	Д3	5	1	Но не сравнить с этим шума,\nЕжели дрогнет хвоя!\nВ каждой игле ― своя дума,\nВ каждой ― и песня своя…
14371	К. К. Случевский	Песни из уголка, «Полно! Прислушайся к песне...»	Д3	3	0	Полно!  Прислушайся к песне…\nМожет быть, в душу твою\nЛасковых звуков порядок\nМирную пустит струю.
14385	К. К. Случевский	Песни из уголка, «Ярких цветов мириады...»	Д3	5	2	Слышат древесные ветки,\nСтали цветам отвечать:\n«Полно вам, милые детки,\nБез толку хором болтать!
14623	К. К. Случевский	«Топчутся волны на месте...»	Д3	2	0	Топчутся волны на месте;\nС ветром играет река;\nВетер проносится с моря,\nСтанет река глубока!
14641	К. К. Случевский	«Что мне твои недостатки?..»	Д3	2	0	Что мне твои недостатки?\nЗнаю их!  ведаю их!\nМелкие их непорядки\nТонут в порядках больших.
14775	В. С. Соловьев	Две сестры, «Стонет скорбящая дева...»	Д3	7	1	Стонет скорбящая дева,\nТих ее стон на земле, ―\nГолос грозящего гнева\nВторит ей сверху во мгле.
15809	Л. Н. Трефолев	Борьба, «Бранное поле я вижу...»	Д3	6	5	Пусть и седьмой погибает,\nЖизнь отдавая свою!\nДай же, судьба, мне отраду\nПасть за свободу в бою!
21173	А. П. Платонов	Русь, «Клонится к нивам поющим...»	Д3	4	2	Добрые сонные деды\nЕле плетутся на звон,\nКличут в окошко соседа ―\nДолго копается он.
21696	В. Д. Александровский	Рабочий, «Мускулы тяжести просят...»	Д3	4	3	Вешние песни приносит\nБури стремительный вал…\nРуки не раз еще бросят\nМолот на красный металл!
22025	В. М. Саянов	Вечер за Нарвской заставой, «В город вернулись погодки...»	Д3	6	1	Снова товарищи вместе.\nПоздно кончается день.\nВ улицы тихих предместий\nТуча отбросила тень.
22749	А. Е. Адалис	«Нет над землей небосвода...»	Д3	3	1	Воздуха в городе мало ―\nМузыкой стал ветерок.\nГлубже дыши для начала\nПесней о ветре дорог.
